"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R51,R30,R122,R39,R63,R62,R130,R132,R46,R120,R64,R131,R119,R61,R98,R126,R41,R34,R54,R33,R129,R133,R96,R35,R86,R5,R128,R31,R97,R95,R121,R42,R67,R118,R60,R125,R29";"R_0402_1005Metric";37;"1k(10%)";;;
2;"U2";"SOT-323_SC-70";1;"ESDCAN03-2BWY";;;
3;"D7";"D_0805_2012Metric";1;"GR_12V";;;
4;"R112,R113,R56,R25,R103,R15,R116,R57,R24,R65,R115,R114,R123,R17,R22,R19,R11,R87,R6,R13";"R_0402_1005Metric";20;"100k(10%)";;;
5;"R36,R58,R16,R43,R7,R49,R53,R10,R79,R48,R45,R14,R28,R12,R68,R18,R47,R76";"R_0402_1005Metric";18;"10k(10%)";;;
6;"C23,C7,C13,C51,C46,C29,C41,C36,C47,C61,C25,C42,C10,C45,C26,C37,C54,C40,C38,C50,C2,C8,C24,C21";"C_0402_1005Metric";24;"100nF/50V(10%)";;;
7;"D14";"D_0805_2012Metric";1;"RE_FAULT_1";;;
8;"J10,J11";"IDC-Header_2x05_P2.54mm_Vertical";2;"IDC_02x05";;;
9;"C28,C6,C60,C4,C3,C16,C5";"C_1206_3216Metric";7;"10uF/50V(10%)";;;
10;"J21";"Molex_Micro-Fit_3.0_43045-0600_2x03_P3.00mm_Horizontal";1;"SW_REMOTE_ARM";;;
11;"R84,R70,R69,R127,R71";"R_0402_1005Metric";5;"10k(1%)";;;
12;"BZ1";"C_Radial_D10.0mm_H12.5mm_P5.00mm";1;"Buzzer";;;
13;"R74";"R_0402_1005Metric";1;"30k(1%)";;;
14;"R55,R59,R102";"R_0402_1005Metric";3;"330R(10%)";;;
15;"J2";"TBP02R138102BE";1;"ESTOP_REP";;;
16;"C43,C49,C48,C44";"C_0402_1005Metric";4;"1nF/50V(10%)";;;
17;"D32,D30,D34,D37,D31,D33";"D_SOD-882";6;"AQ3041";;;
18;"R73,R90,R72,R91";"R_0402_1005Metric";4;"2.2M(10%)";;;
19;"D1,D2,D4,D3";"D_SMB";4;"SMBJ16A";;;
20;"D19";"D_0805_2012Metric";1;"GR_K_EN";;;
21;"R21,R20,R37,R26,R38,R23";"R_0402_1005Metric";6;"100R(10%)";;;
22;"R4,R3";"R_0402_1005Metric";2;"60R(1%)";;;
23;"C20,C15,C39";"C_0603_1608Metric";3;"1uF/16V(10%)";;;
24;"TP9,TP6,TP4,TP7,TP11,TP5,TP3,TP2,TP10,TP1,TP8";"TestPoint_Pad_D1.0mm";11;"TestPoint";;;
25;"F4,F1,F2,F3";"FUSC5141X160N";4;"SMDH2016B260TF";;;
26;"Q12";"DMP4013LFG7";1;"DMP6023LFG-7";;;
27;"R8";"R_0402_1005Metric";1;"510R(10%)";;;
28;"D25";"D_0805_2012Metric";1;"GR_K_SEL";;;
29;"D29,D22,D26";"D_SMB";3;"VSSB410S";;;
30;"C34,C55,C59,C31,C35,C57,C30,C56,C33,C58,C32,C62";"C_0402_1005Metric";12;"10nF/50V(10%)";;;
31;"R117,R110";"R_0402_1005Metric";2;"4.7R(1%)";;;
32;"C9,C18,C27,C22,C14";"C_0805_2012Metric";5;"4.7uF/16V(10%)";;;
33;"U10";"QFN50P700X700X100-49N-D";1;"LCMXO2-640HC-5SG48I";;;
34;"U13,U12";"XC7WT14GT115";2;"74LVC3G17GT,115";;;
35;"R1,R100,R93,R94,R2,R99";"R_0402_1005Metric";6;"4.7k(10%)";;;
36;"Y1";"Crystal_DS26_D2.0mm_L6.0mm_Vertical";1;"ECS-.327-6-13X";;;
37;"C11,C12";"C_0402_1005Metric";2;"6pF/50V(10%)";;;
38;"D16";"D_0805_2012Metric";1;"RE_FAULT_2";;;
39;"RV2,RV3,RV4,RV1";"Potentiometer_Bourns_3296Y_Vertical";4;"20k(10%)";;;
40;"K1";"G5LE1A4DC12";1;"G5LE-1A4-DC12";;;
41;"Q3,Q5,Q4,Q2";"DMP1022UFDEQ7";4;"DMP3014SFDE-13";;;
42;"R89,R101,R92,R104,R108,R105,R88,R109";"R_0603_1608Metric";8;"100k(1%)";;;
43;"Y2";"ABLS8000MHZ20D3HT";1;"ABLS-8.000MHZ";;;
44;"J8";"Molex_Micro-Fit_3.0_43045-0800_2x04_P3.00mm_Horizontal";1;"RCU_B2B";;;
45;"R27,R9";"R_0402_1005Metric";2;"1.8k(10%)";;;
46;"U1";"SOP-4_3.8x4.1mm_P2.54mm";1;"CPC1017N";;;
47;"U15";"SOT-363_SC-70-6";1;"MCP6C26T-050E_LTY";;;
48;"J5";"TBP02R138102BE";1;"AUX_OUT_0";;;
49;"U3";"VSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm";1;"TCAN3414DRBR";;;
50;"F5";"RGEF500";1;"RGEF500";;;
51;"J7";"Molex_Micro-Fit_3.0_43045-0800_2x04_P3.00mm_Horizontal";1;"PSU_B2B_SIG";;;
52;"R111";"R_2512_6332Metric";1;"10m/1W(1%)";;;
53;"J20";"Molex_Micro-Fit_3.0_43045-0600_2x03_P3.00mm_Horizontal";1;"SW_MISC";;;
54;"Q7,Q1,Q9,Q11,Q14,Q8,Q6,Q10";"SOT-23";8;"MMBT3904";;;
55;"J15";"Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal";1;"MOTOR_CONT";;;
56;"D35,D36";"D_SOD-123";2;"3.3V";;;
57;"R75,R107,R106";"R_0402_1005Metric";3;"2k(1%)";;;
58;"R85";"R_0402_1005Metric";1;"22k(1%)";;;
59;"C53";"C_0402_1005Metric";1;"100pF/50V(10%)";;;
60;"J13";"Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal";1;"VIN";;;
61;"D20";"D_0805_2012Metric";1;"GR_STATE_0";;;
62;"SW1";"SW_SPST_TS-1088-xR020";1;"SW_SPST";;;
63;"J4";"TBP02R138102BE";1;"AUX_OUT_1";;;
64;"D12";"D_0805_2012Metric";1;"OR_MCU_LED_0";;;
65;"D11";"D_0805_2012Metric";1;"RE_FAULT_0";;;
66;"R80,R81";"R_0402_1005Metric";2;"5.6k(1%)";;;
67;"D6";"D_0805_2012Metric";1;"GR_5V";;;
68;"R77,R83,R78";"R_0402_1005Metric";3;"100k(1%)";;;
69;"K2";"G5LE-14_SPDT";1;"G5LE-14-ASI_DC12";;;
70;"R32,R52,R44";"R_0402_1005Metric";3;"0R(10%)";;;
71;"J19";"Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal";1;"ESTOP_OK";;;
72;"U7";"SOT-223";1;"AP2114HA-3.3TRG1";;;
73;"D8";"D_0805_2012Metric";1;"GR_5VSW";;;
74;"J18";"Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal";1;"V_SENSE";;;
75;"FB1";"L_0603_1608Metric";1;"120R/3A";;;
76;"J3";"TBP02R138102BE";1;"AUX_OUT_2";;;
77;"D9";"D_0805_2012Metric";1;"GR_12VSW";;;
78;"J17";"Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal";1;"THERM_0";;;
79;"C1";"C_0402_1005Metric";1;"4.7nF/50V(10%)";;;
80;"J16";"Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal";1;"THERM_1";;;
81;"U14";"SOIC-8_3.9x4.9mm_P1.27mm";1;"THVD1400D";;;
82;"U8,U5";"SOT-363_SC-70-6";2;"LM66100DCK";;;
83;"U4";"SOT-23-5";1;"MCP1316MT-31LE/OT";;;
84;"D28,D24,D27";"D_SOD-123";3;"14V";;;
85;"U9";"TSOT-23";1;"LM4040-2.5V";;;
86;"R66";"R_0402_1005Metric";1;"820(10%)";;;
87;"D23";"D_0805_2012Metric";1;"GR_STATE_1";;;
88;"J12";"Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal";1;"RS485";;;
89;"C17,C19";"C_0402_1005Metric";2;"33pF/50V(10%)";;;
90;"D18";"D_0805_2012Metric";1;"RE_FAULT_3";;;
91;"D10";"D_0805_2012Metric";1;"GR_MCU_LED_0";;;
92;"R50";"R_0402_1005Metric";1;"3.3k(10%)";;;
93;"R124";"R_0402_1005Metric";1;"120R(1%)";;;
94;"D15";"D_0805_2012Metric";1;"OR_MOTOR";;;
95;"U6";"LQFP-64_10x10mm_P0.5mm";1;"STM32G474RET6";;;
96;"J1";"TBP02R138102BE";1;"AUX_OUT_3";;;
97;"D5";"D_0805_2012Metric";1;"GR_3.3V";;;
98;"J14";"Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal";1;"EXT_RES";;;
99;"D17";"D_0805_2012Metric";1;"RE_FAULT";;;
100;"Q13";"ONSemi_SO-8FL_488AA";1;"NTMFS5C673NLT1G";;;
101;"R82";"R_0402_1005Metric";1;"150k(1%)";;;
102;"TH1";"R_0402_1005Metric";1;"NTC/10K";;;
103;"J6";"Molex_Micro-Fit_3.0_43045-0800_2x04_P3.00mm_Horizontal";1;"PSU_B2B_PWR";;;
104;"D13";"D_0805_2012Metric";1;"RE_OV";;;
105;"U11";"TSSOP-14_4.4x5mm_P0.65mm";1;"LM339";;;
106;"C52";"C_0603_1608Metric";1;"2.2uF/10V(10%)";;;
107;"D21";"D_0805_2012Metric";1;"OR_DBG_PWR";;;
